,Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
2048,A0439,2523,04/07/2018,EDF Energy Renewables,Blyth Offshore Wind Test Site,Wind Offshore,,,41.5,,,,,8.3,5.0,,,Operational,Operational,between 1.8km and 13.8km off the east coast of Blyth in Northumberland,Offshore,Offshore,England,,"440,591","586,033",DECC (S36)/Marine Management Organisation,,,,,Demo,01/03/2012,,,,,,,08/11/2013,,,,,22/10/2016,22/10/2017
2049,B0262,2524,20/08/2020,Scottish Power Renewables,East Anglia 1 (EA 1),Wind Offshore,,,714,,,,714,7.0,102.0,,,Operational,Operational,"Offshore, East of England",Offshore,Offshore,England,,"685,500","257,000",DECC (S36),,,,,3,21/11/2012,,,,,,,17/06/2014,,,,,24/05/2018,28/07/2020
2050,B0263,2525,03/09/2020,Orsted (formerly Dong Energy),Hornsea 1 - Heron & Njord,Wind Offshore,,,"1,200.00",,,,"1,200.00",7.0,174.0,,,Operational,Operational,,Offshore,Offshore,England,,"626,000","426,000",DECC (S36),,,,,3,23/08/2013,,,,,,,10/12/2014,,,,,26/01/2018,02/06/2020
2051,A0370,2526,02/10/2019,RWE Npower Renewables,Galloper Wind Farm,Wind Offshore,,,353,,,,,6.3,56.0,,,Operational,Operational,Greater Gabbard extension,Offshore,Offshore,England,,"678,139","227,875",The Planning Inspectorate - National Infrastructure,,,,,2.5,21/11/2011,,,,,,,24/05/2013,,,,,29/07/2016,30/03/2018
2053,B0258,2528,08/11/2018,Catapult,Levenmouth demonstration turbine (Fife Energy Park),Wind Offshore,,,7,,,,,6.0,1.0,,,Operational,Operational,Fife Energy Park (Test Site) off the coast of Methil in Fife,Offshore,Offshore,Scotland,,"340,600","696,860",Scottish Government (S36),,,,,3,02/12/2009,,,,,,,18/11/2011,,,,,08/10/2013,31/03/2014
2055,A0374,2533,04/06/2020,Orsted (formerly Dong Energy),Walney 3,Wind Offshore,,,660,,,,660,6.0,110.0,222.0,,Operational,Operational,"14km off Walney Island, Irish Sea",Offshore,Offshore,England,,"286,289","467,410",DECC (S36),,,,,2.5,30/07/2013,,,,,,,07/11/2014,,,,07/11/2019,01/04/2017,13/09/2018
2060,N00558W,2538,02/01/2020,Statoil / Statkraft,Dudgeon East ,Wind Offshore,,,402,,,,402,6.0,67.0,,,Operational,Operational,Greater wash,Offshore,Offshore,England,,"575,000","361,000",DECC (S36),,,,,2,12/06/2009,,,,,,,06/07/2012,,,,,17/03/2016,15/10/2017
2061,AA066,2539,02/05/2018,Orsted (formerly Dong Energy),Burbo Bank Extension (Burbo Bank 2),Wind Offshore,,,258,,,,258,8.0,32.0,,,Operational,Operational,"Burbo Flats, Liverpool Bay, approximately 6.4km (4.0 miles) from the Sefton coastline and 7.2km (4.5 miles) from North Wirral.",Offshore,Offshore,England,,"315,815","398,892",DECC (S36),,,,,2.5,19/04/2013,,,,,,,26/09/2014,,,,,10/06/2016,27/04/2017
2065,N00441W,2543,19/08/2020,RWE,Gwynt y Mor ,Wind Offshore,,,576,,,,,3.6,160.0,,,Operational,Operational,Liverpool Bay (13-15km offshore) ,Offshore,Offshore,Wales,,"292,082","396,482",DECC (S36),,,,,2,01/11/2005,,,,,,,03/12/2008,,,,,01/03/2012,18/06/2015
2066,N00448W,2544,03/10/2016,E.ON Humber Wind Ltd/ Balfour Beatty Investments and Equitix.,Humber Gateway A,Wind Offshore,,,219,,,,,3.0,73.0,,,Operational,Operational,8km from Yorkshire Coast,Offshore,Offshore,England,,"566,400","390,760",DECC (S36),,,,,2,01/04/2008,,,,,,,09/02/2011,,,,,30/08/2013,30/05/2015
2067,N00556W,2545,05/04/2018,Orsted (formerly Dong Energy),Westermost Rough A,Wind Offshore,,,210,,,,,6.0,35.0,,,Operational,Operational,25 km north of Spurn Head at the River Humber estuary.,Offshore,Offshore,England,,"571,600","358,680",DECC (S36),,,,,2,17/11/2009,,,,,,,29/11/2011,,,,,28/02/2014,26/05/2015
2068,N00461W,2546,20/11/2017,Orsted (formerly Dong Energy),Barrow ,Wind Offshore,,,90,,,,,3.0,30.0,,,Operational,Operational,"7km Walney Island, near Barrow-in-Furness",Offshore,Offshore,England,,"314,978","455,827",DECC (S36),,,,,1,10/05/2002,,,,,,,12/03/2003,,,,,01/05/2005,01/04/2006
2072,01023W5,2555,09/05/2013,Ecotricity,South Beach Wind Turbine (Somerton),Wind Onshore,,,1.5,,,,,1.47,1.0,,,Operational,Operational,"Somerton, Great Yarmouth, Norfolk",Norfolk,Eastern,England,,"646,953","318,736",Great Yarmouth Borough Council,,,,,,21/05/1999,,28/04/2000,,,,,,,,,,,22/07/2000
2073,01038W4,2556,04/12/2008,LRZ Ltd (Taken over by NOVERA),Swaffham 1 - Ecotech Wind Park,Wind Onshore,,,1.5,,,,,1.47,1.0,,,Operational,Operational,"East of West Acre Road
Swaffham
Norfolk",Norfolk,Eastern,England,,"581,585","309,935",Breckland Council,,,,,,02/03/1998,,,,,,,19/02/1999,,,,,,16/08/1999
2074,04011W3,2559,18/05/2006,Cynllun Trydan Gwynt,Mynydd Gorddu Wind Farm,Wind Onshore,,,10.2,,,,,0.54,19.0,,,Operational,Operational,Mynydd Gorddu Elerch Tal-y-Bont Dyfed,Dyfed,Wales,Wales,,"266,200","287,200",Ceredigion County Council,,,,,,04/01/1991,,,,,,,12/09/1991,,,,,,18/04/1998
2077,04043W4,2563,22/04/2009,"Renewable Development Company Ltd, KENTECH Ltd",Cefn Croes Wind Farm,Wind Onshore,,,58.5,,,,,1.5,39.0,,,Operational,Operational,"Canolbarth Forest,  Devils Bridge  Ceredigion",Dyfed,Wales,Wales,,"281,000","280,000",DECC (S36),,,,,,24/07/2000,,,,,,,10/12/2001,,,,,,25/01/2005
2078,04050W3,2564,30/10/2011,RWE npower,Carno 'B' Wind Farm,Wind Onshore,,,16.8,,,,,0.6,28.0,,,Operational,Operational,"Trannon Moor, Carno, Powys",Powys,Wales,Wales,,"291,053","295,836",Powys County Council,,,,,,30/12/1993,,,,,,,18/08/1995,,,,,,01/10/1996
2079,04051W3,2565,30/10/2011,RWE npower,Carno 'A' Wind Farm,Wind Onshore,,,16.8,,,,,0.6,28.0,,,Operational,Operational,"Cwm Cledan
Carno
Powys",Powys,Wales,Wales,,"293,000","295,000",Powys County Council,,,,,,16/08/1993,,,,,,,18/08/1995,,,,,,01/10/1996
2080,04053W3,2566,03/02/2010,Vestas,Cemmaes 'B' Wind Farm,Wind Onshore,,,3.4,,,,,0.56,6.0,,,Operational,Operational,"Mynydd y Cemmaes
Cemmaes
Machynlleth
Powys",Powys,Wales,Wales,,"287,000","308,000",Powys County Council,,,,,,04/09/1996,,,,,,,16/03/1999,,,,,,01/02/2002
2081,04054W3,2567,09/12/2003,RWE npower,Trysglwyn Wind Farm,Wind Onshore,,,5.6,,,,,0.4,14.0,,,Operational,Operational,"Trysglwyn Fawr
Rhosybol
Isle of Anglesey
Gwynedd",Gwynedd,Wales,Wales,,"244,000","389,000",Isle of Anglesey County Council,,,,,,08/08/1992,,10/12/1993,,,,,,,,,,,01/05/1996
2082,04057W4,2568,03/10/2018,Private Developer,Hafoty Ucha '2' and '3' Wind Turbine,Wind Onshore,,,2.6,,,,,0.85,3.0,,,Operational,Operational,"3 km South of Cerrigydrudion
Llangwm",Clwyd,Wales,Wales,,"293,500","345,500",Conwy County Borough Council,,,,,,02/07/2001,,,,,,,17/10/2001,,,,,,15/12/2002
2085,04076W3,2574,10/02/2003,Mersey Docks and Harbour Company and Windcluster Limited,Royal Seaforth Dock Wind Farm,Wind Onshore,,,3,,,,,0.5,6.0,,,Operational,Operational,"Royal Seaforth Dock Port of Liverpool Bootle, Sefton Merseyside",Merseyside,North West,England,,"331,100","397,000",Sefton Council,,,,,,12/10/1995,,22/08/1997,,,,,,,,,,,24/04/1999
2086,04079W4,2576,14/09/2010,Vestas,Cemmaes 'C' Wind Farm,Wind Onshore,,,15.3,,,,,0.85,18.0,,,Operational,Operational,"Cemmaes
Machynlleth
Powys",Powys,Wales,Wales,,"286,800","306,000",Powys County Council,,,,,,15/10/2000,,,,,,,06/04/2001,,,,,,23/02/2002
2091,04107W3,2582,04/06/2005,MANWEB Generation Holdings,Llanbabo Wind Farm,Wind Onshore,,,20.4,,,,,2.25,9.0,,,Operational,Operational,"Llanbabo Wind Farm
Land tp the north of Llyn Alaw
Isle of Anglesey
Gwynedd",Gwynedd,Wales,Wales,,"236,000","387,000",Isle of Anglesey County Council,,,,,,05/08/1994,,,,,,,19/12/1996,,,,,,01/10/1997
2093,06014W5,2586,18/01/2002,RWE npower,Tow Law Wind Farm,Wind Onshore,,,2.6,,,,,0.9,3.0,,,Operational,Operational,"Tow Law, Crook, County Durham",Durham,North East,England,,"411,500","541,000",Durham County Council,,,,,,27/07/1999,,,,,,,07/06/2000,,,,,,30/12/2001
2094,06015W4,2587,10/06/2009,Border Wind Farms Ltd /AMEC,Kirkheaton Wind Farm,Wind Onshore,,,1.8,,,,,0.6,3.0,,,Operational,Operational,"West Farm, Kirkheaton, Northumberland",Northumberland,North East,England,,"400,800","576,900",Northumberland County Council,,,,,,04/11/1997,,21/01/1999,,,,21/01/1999,21/01/1999,,,,,,22/05/2000
2096,06019W3,2591,07/10/2009,Border Windfarm Limited / AMEC,Great Eppleton Wind Farm,Wind Onshore,,,3,,,,,0.75,4.0,,,Operational,Operational,"Great Eppleton Farm
North Lane
Hetton le Hole
Tyne and Wear",Tyne and Wear,North East,England,,"436,900","548,200",Sunderland City Council,,,,,,02/08/1995,,,,,,,25/07/1996,,,,,,01/04/1997
2103,07046W3,2613,30/10/2011,Great Orton Wind Farms (II) Ltd,Great Orton Wind Farm (Extension),Wind Onshore,,,2.3,,,,,0.4,6.0,,,Operational,Operational,"Great Orton Airfield, near Wiggonby, Carlisle, Cumbria",Cumbria,North West,England,,"331,300","553,400",Allerdale Borough Council,,,,,,26/02/1998,,,,,,,23/06/1998,,,,,,01/02/2000
2104,07056W3,2617,01/08/2016,The Wind Company,Harlock Hill Wind Farm,Wind Onshore,,,2.5,,,,,0.5,5.0,,,Operational,Operational,"Harlock Hill Wind Farm, Pennington, Near Ulverston, Cumbria",Cumbria,North West,England,LA12 0,"325,300","479,400",South Lakeland District Council,,,,,,03/02/1995,,,,,,,03/05/1996,,,,,,01/01/1997
2105,07060W4,2618,06/05/2009,Wharrels Hill Windfarm Ltd/ National Windpower,Wharrels Hill Wind Farm,Wind Onshore,,,10.4,,,,,1.3,8.0,,,Operational,Operational,"Wharrels Hill
Bothel
Cumbria",Cumbria,North West,England,,"318,000","537,200",Allerdale Borough Council,APP/G0908/A/01/1075972,,,,,23/12/2000,,19/06/2002,,,,,,,,,,01/04/2007,07/08/2007
2108,07124W3,2624,30/10/2011,Windprospect / Windcluster,Siddick Wind Farm,Wind Onshore,,,4.2,,,,,0.6,7.0,,,Operational,Operational,Siddick Wind Farm Siddick Workington Cumbria,Cumbria,North West,England,,"300,600","532,100",Allerdale Borough Council,,,,,,21/04/1995,,,,,,,11/12/1995,,,,,,01/08/1996
2109,07125W3,2625,11/04/2011,Windprospect / Windcluster,Oldside Wind Farm,Wind Onshore,,,5.4,,,,,0.6,9.0,,,Operational,Operational,"Oldside Wind Farm
Workington
Cumbria",Cumbria,North West,England,,"299,700","530,500",Allerdale Borough Council,,,,,,31/10/1995,,,,,,,10/01/1996,,,,,,01/09/1996
2110,07129W3,2626,11/04/2011,The Wind Company,Haverigg Extension Wind Farm,Wind Onshore,,,2.4,,,,,0.6,4.0,,,Operational,Operational,"Kirksanton Airfield
Part of Hemplands Farm
Haverigg
Millom
Cumbria",Cumbria,North West,England,,"313,700","479,500",Copeland Borough Council,,,,,,29/05/1991,,,,,,,08/08/1991,,,,,,01/07/1998
2113,10009W4,2630,26/08/2004,WINDJEN POWER LTD,Blaen Bowi Wind Farm,Wind Onshore,,,3.9,,,,,1.3,3.0,,,Operational,Operational,"Moelfre Capel Iwan Dyfed, Carmarthenshire",Dyfed,Wales,Wales,,"232,500","236,000",Carmarthenshire County Council,,,,,,27/06/2000,,,,,,,04/01/2001,,,,,,30/07/2002
2117,10019W3,2636,30/10/2011,Micon Wind Turbines (UK) Limited,Parc-Cynog Wind Farm,Wind Onshore,,,3.6,,,,,0.7,5.0,,,Operational,Operational,"Parc-Cynog Farm
Pendine
Carmarthenshire",Dyfed,Wales,Wales,,"225,500","209,500",Carmarthenshire County Council,,,,,,05/05/1998,,01/02/2000,,,,,,,,,,,01/02/2001
2128,11021W3,2653,03/03/2010,John Laing Environmental Assets Group ,Moel Maelogen A,Wind Onshore,,,2.6,,,,,1.3,2.0,,,Operational,Operational,"Moel Maelogen
Nr Llanrwst
Conwy
Gwynedd",Gwynedd,Wales,Wales,,"284,700","361,300",Conwy County Borough Council,,,,,,20/08/1999,,,,,,,15/12/1999,,,,,,30/01/2003
2131,12013W4,2659,22/04/2009,Powergen Renewables Developments Ltd,Out Newton Wind Farm,Wind Onshore,,,9,,,,,1.3,7.0,,,Operational,Operational,"Southfield Farms
Hull",Humberside,Yorkshire and Humber,England,,"538,800","421,200",East Riding of Yorkshire Council,,,,,,04/11/1998,,11/09/2000,,,,,,,,,,,31/01/2002
2139,A0016,2672,03/06/2013,Brockholes Farm,Brockholes Wind Cluster,Wind Onshore,,,2.4,,,,,0.8,3.0,,,Operational,Operational,"Brockholes Farm, Grantshouse, Duns, Borders. TD11 3RL",Borders,Scotland,Scotland,,"382,080","663,751",Scottish Borders Council,,,,,,14/04/2009,,,,,,,10/05/2010,,,,,28/02/2012,18/02/2013
2140,A0027,2673,17/10/2011,Falck Renewables,Kilbraur Windfarm Farlary - Extension,Wind Onshore,,,20,,,,,2.5,8.0,,,Operational,Operational,"Dunrobin Glen, Golspie, The Highlands. KW10 6SE",Highland,Scotland,Scotland,,"283,124","902,064",Scottish Government (S36),,,,,,13/03/2009,,,,,,,01/12/2009,,,,,01/12/2010,01/09/2011
2141,A0028,2674,25/10/2011,Pennant Wind Energy Ventures,Maesgwyn,Wind Onshore,,,26,,,,,2.0,13.0,,,Operational,Operational,"Maesgwyn, Glynneath, Neath, West Glamorgan. SA11",West Glamorgan,Wales,Wales,,"285,500","205,500",Neath Port Talbot County Borough Council,,,,,,01/10/2006,,,,,,,05/05/2009,,,,,01/07/2010,14/04/2011
2144,A0056,2680,19/04/2013,,Spicer Hill Wind Farm,Wind Onshore,,,6.9,,,,,2.3,3.0,,,Operational,Operational,"34 Spicer Hill, Whitley Road, Penistone, Sheffield, South Yorks. S36 7G",South Yorkshire,Yorkshire and Humber,England,,"420,500","404,500",Barnsley Council,,,,,,27/04/2009,,,,,,,01/04/2010,,,,,,15/02/2013
2147,A0066,2683,13/09/2011,,Ford Motor Company Ltd (Extension),Wind Onshore,,,2,,,,,2.0,1.0,,,Operational,Operational,"Thames Avenue, Dagenham. RM9 6SA",Greater London,London,England,,"549,268","183,277",Barking and Dagenham London Borough Council,,,,,,02/04/2009,,,,,,,16/07/2009,,,,,01/01/2010,12/08/2011
2151,A0083,2687,20/12/2011,FMC Technologies,FMC Technologies,Wind Onshore,,,1.5,,,,,0.75,2.0,,,Operational,Operational,"Pitreavie Crescent, Pitreavie Business Park, Dunfermline, KY11 8UT",Fife,Scotland,Scotland,,"310,010","685,787",Fife Council,,,,,,12/02/2009,,,,,,,22/12/2009,,,,,01/04/2011,07/12/2011
2155,A0128,2691,09/06/2010,Boyndie Wind Farm,Boyndie Airfield Extension,Wind Onshore,,,2.3,,,,,2.3,1.0,,,Operational,Operational,"Boyndie, Banff, Grampian",Grampian,Scotland,Scotland,AB45 2LR,"361,206","863,606",Aberdeenshire Council,,,,,,05/08/2008,,,,,,,14/08/2009,,,,,,04/01/2010
2158,A0150,2694,29/11/2011,M H Leyland Ltd,Blue Gates Farm,Wind Onshore,,,1.5,,,,,1.5,1.0,,,Operational,Operational,"Colchester Main Road, Alresford, Colchester",Essex,Eastern,England,CO7 8DE,"606,950","222,545",Tendring District Council,,,,,,05/06/2009,,,,,,,11/09/2009,,,,,,01/03/2010
2159,A0152,2695,21/02/2017,Ecotricity / Next Generation,Celcon Blocks Ltd,Wind Onshore,,,2,,,,,2.0,1.0,,,Operational,Operational,"Heck and Pollington Lane, Pollington, Goole, Humbs",Humberside,Yorkshire and Humber,England,DN14 0BA,"460,597","420,445",East Riding of Yorkshire Council,12/00045/REFUSE,,,,,04/08/2009,,16/01/2012,18/05/2012,,,17/10/2012,17/10/2012,,,,,15/04/2015,15/04/2016
2161,A0171,2697,28/10/2010,Hammers Hill Energy Ltd,Hammar's Hill,Wind Onshore,,,4.3,,,,,0.9,5.0,,,Operational,Operational,"Evie, Orkney",Orkney Islands,Scotland,Scotland,,"338,644","1,023,698",Orkney Islands Council,,,,,,11/03/2008,,,,,,,06/01/2009,,,,,01/09/2009,20/09/2010
2168,A0189,2704,26/04/2012,FMC Corp UK Ltd,"F M C Land, Pitreavie Business Park",Wind Onshore,,,1.5,,,,,1.5,1.0,,,Operational,Operational,"Queensferry Road, Pitreavie Crescent, Dunfermline, Fife. KY11 8UD",Fife,Scotland,Scotland,,"310,145","685,510",Fife Council,,,,,,13/02/2009,,,,,,,22/12/2009,,,,,,31/10/2011
2172,A0205,2708,09/06/2010,Green Cat Renewables,Strath of Brydock - Extension,Wind Onshore,,,2.3,,,,,1.3,1.0,,,Operational,Operational,"Strath of Brydock, Alvah, Banff",Grampian,Scotland,Scotland,,"365,391","859,727",Aberdeenshire Council,,,,,,15/11/2008,,,,,,,16/10/2009,,,,,,01/12/2009
2174,A0237,2711,02/10/2018,Scottish Power Renewables,Hare Hill (East Ayrshire),Wind Onshore,,,13.2,,,,,0.66,20.0,,,Operational,Operational,"New Cumnock, East Ayreshire",Strathclyde,Scotland,Scotland,,"265,320","609,703",East Ayrshire Council,,,,,,10/02/1996,,,,,,,12/10/1998,,,,,,01/11/2000
2176,A0261,2713,05/08/2019,Npower Renewables,Kirkby Moor,Wind Onshore,,,4.8,,,,,0.4,12.0,,,Operational,Operational,"approximately 4km from Ulverston, within a Site of Special Scientific Interest",Cumbria,North West,England,,"326,111","485,242",South Lakeland District Council,,,,,,,,,,,,,,,,,,,01/01/1993
2178,A0299,2715,24/03/2010,,Bambers II,Wind Onshore,,,4.6,,,,,0.76,6.0,,,Operational,Operational,"Mile Lane, Mablethorpe, Lincolnshire",Lincolnshire,East Midlands,England,,"549,195","382,820",East Lindsey District Council,,,,,,04/05/2005,,,,,,,08/09/2005,,,,,,01/11/2006
2186,A0346,2723,05/05/2011,West Coast Energy Ltd/Falck Renewables,Millennium Extension II,Wind Onshore,,,15,,,,,2.5,6.0,,,Operational,Operational,"Millennium Windfarm, on The Achlain and Invergarry amd Aberchalder Estates, Glengarry Invergarry, Inverness-Shire, (nr Glen Moriston, Fort Augustus)",Highland,Scotland,Scotland,,"225,679","810,840",Scottish Government (S36),,,,,,06/01/2009,,,,,,,10/08/2009,,,,,01/04/2010,01/04/2011
2187,A0347,2724,06/08/2010,Private Developer,Cairnmore Farm,Wind Onshore,,,2.6,,,,,0.85,3.0,,,Operational,Operational, 3km south-east of Rhynie in Aberdeenshire,Grampian,Scotland,Scotland,,"351,086","825,261",Aberdeenshire Council,,,,,,18/04/2008,,,,,,,27/10/2009,,,,,01/04/2010,10/07/2010
2193,A0538,2741,22/03/2013,Greenspan Electric St Fergus Ltd,St Fergus Moss Wind Farm,Wind Onshore,,,6,,,,,2.0,3.0,,,Operational,Operational,"Land at St Fergus Moss, St Fergus, Peterhead",Grampian,Scotland,Scotland,,"405,416","853,549",Aberdeenshire Council,,,,,,28/06/2010,,,,,,,23/02/2012,,,,,31/03/2012,18/12/2012
2194,AA005,2742,07/06/2011,Scotrenewables (Scotland) Ltd,"West Hill, Flotta",Wind Onshore,,,2,,,,,2.0,1.0,,,Operational,Operational,"West Hill, Flotta, Orkney",Orkney Islands,Scotland,Scotland,,"335,252","993,820",Orkney Islands Council,,,,,,26/04/2004,,,,,,,18/12/2007,,,,,,01/07/2010
2196,AA015,2747,02/12/2011,Yorkshire Water,Chelker Reservoir (Retention of Turbines),Wind Onshore,,,1.2,,,,,0.3,4.0,,,Operational,Operational,"Land adjacent to Chelker Reservoir, nr Skipton",North Yorkshire,Yorkshire and Humber,England,,"405,730","451,820",Craven District Council,,,,,,24/01/2001,,,,,,,30/05/2001,,,,,,01/05/2004
2203,AA059,2757,19/04/2013,,Whitelee Windfarm Extension phase 2,Wind Onshore,,,109,,,,,3.0,39.0,,,Operational,Operational,north of the Irvine Valley on Eaglesham Moor,Strathclyde,Scotland,Scotland,,"254,220","640,867",Scottish Government (S36),,,,,,29/05/2009,,,,,,,12/12/2009,,,,,01/12/2010,15/01/2013
2204,AA061,2758,01/06/2010,Private Developer,Hill of Balquhindachy extension,Wind Onshore,,,1.7,,,,,0.85,2.0,,,Operational,Operational,"Methlick, Ellon",Grampian,Scotland,Scotland,AB41 7BY,"385,642","842,482",Aberdeenshire Council,,,,,,20/03/2007,,,,,,,09/09/2008,,,,,,09/07/2010
2218,AA384,2776,01/06/2011,Npower Renewables,Taff Ely Wind Farm,Wind Onshore,,,9,,,,,0.45,20.0,,,Operational,Operational,10 kilometres (km) north east of Bridgend,Mid Glamorgan,Wales,Wales,,"298,574","186,630",Bridgend County Borough Council,,,,,,,,,,,,,,,,,,,01/10/1993
2220,AA432,2780,04/04/2016,Airvolution Energy,Mossmorran Wind Farm,Wind Onshore,,,4.6,,,,,2.0,2.0,,,Operational,Operational,"Land At To The West Of Chemical Works, Mossmorran, Fife",Fife,Scotland,Scotland,,"318,109","689,419",Fife Council,,,,,,01/04/2011,,,,,,,13/01/2012,,,,,01/09/2015,01/12/2015
2221,AA466,2782,14/09/2011,Private Developer,Courtstone Wind Turbine,Wind Onshore,,,2.3,,,,,2.3,1.0,,,Operational,Operational,"Methlick
Ellon
AB41 7HH",Grampian,Scotland,Scotland,,"384,413","833,537",Aberdeenshire Council,,,,,,15/09/2006,,,,,,,15/09/2006,,,,,,04/06/2009
2231,AA734,2796,19/04/2012,ABO Wind,Lairg Wind Farm,Wind Onshore,,,7.5,,,,,2.5,3.0,,,Operational,Operational,Land To South Of Toroboll Lairg Highland,Highland,Scotland,Scotland,,"261,293","903,916",Highland Council,,,,,,05/09/2006,,,,,,,08/04/2008,,,,,,01/01/2012
2235,B0061,2804,03/08/2011,,G24 Innovations Turbine,Wind Onshore,,,2.3,,,,,2.3,1.0,,,Operational,Operational,"Wentloog Environmental Centre, WENTLOOG AVENUE, WENTLOOG",South Glamorgan,Wales,Wales,,"323,460","179,215",Cardiff Council,,,,,,26/09/2007,,,,,,,15/01/2008,,,,,,12/07/2011
2241,B0301,2822,31/01/2012,Mornflake Oats/ Hamlyns Oats,Mornflake Oats Wind Turbine,Wind Onshore,,,2.3,,,,,2.3,1.0,,,Operational,Operational,"Cairnton Road
Boyndie
Banff
AB45 2LR",Grampian,Scotland,Scotland,,"361,543","863,513",Aberdeenshire Council,,,,,,05/08/2008,,,,,,,06/04/2011,,,,,,18/01/2012
2245,B0484,2830,24/08/2012,Brett Martin Ltd,Wind Turbine 1,Wind Onshore,,,2.3,,,,,2.3,1.0,,,Operational,Operational,"24 ROUGHFORT ROAD
MALLUSK
NEWTOWNABBEY
BT36 4RB
Northern Ireland",Co. Antrim,Northern Ireland,Northern Ireland,,"141,041","539,963",Northern Ireland Planning Service,,,,,,02/06/2009,,,,,,,15/02/2010,,,,,,30/05/2011
2246,B0626,2839,26/02/2013,Private Developer,Clochnahill Wind Farm,Wind Onshore,,,5.2,,,,,1.3,4.0,,,Operational,Operational,"Clochnahill, Stonehaven AB39 2XY",Grampian,Scotland,Scotland,,"382,413","782,503",Aberdeenshire Council,,,,,,27/07/2006,,,,,,,05/08/2009,,,,,,20/01/2012
2257,B0823,2866,16/08/2013,White Young Green Planning,Ballymena Wind Park Limited,Wind Onshore,,,4.7,,,,,2.35,2.0,,,Operational,Operational,Michelin Tyre PLC Raceview Road Ballymena BT42 4HZ Northern Ireland,Co. Antrim,Northern Ireland,Northern Ireland,,"128,574","562,072",Northern Ireland Planning Service,,,,,,24/07/2009,,,,,,,14/04/2010,,,,,,24/01/2013
2258,B0845,2867,16/08/2013,Auquhirie Land Company Ltd,St John Hill,Wind Onshore,,,7.7,,,,,2.5,3.0,,,Operational,Operational,"St John Hill Windfarm Near Roadside of Kinneff, Stonehaven",Grampian,Scotland,Scotland,AB39 2UE,"383,502","778,054",Aberdeenshire Council,,,,,,10/07/2008,,,,,,,10/12/2009,,,,,,07/03/2013
2261,C0065,2875,29/04/2013,TCI Renewables,MARCH SEWAGE TREATMENT WORKS - WIND TURBINE,Wind Onshore,,,2,,,,,2.0,1.0,,,Operational,Operational,"Anglian Water Authority, Creek Road, March, Cambridgeshire PE15 8RY",Cambridgeshire,Eastern,England,,"543,872","299,171",Fenland District Council,APP/D0515/A/08/2089046,,,,,18/07/2007,,02/05/2008,,,,20/02/2009,20/02/2009,,,,,25/06/2012,01/09/2012
2267,C0826,2888,03/04/2018,Greencoat,Brockaghboy Wind Farm - extension,Wind Onshore,,,10,,,,,3.0,4.0,,,Operational,Operational,west of Dowlins Bridge.  in the townlands of Knockoneill and Dunavenny on the Drumbane Road.  7.5km south of Garvagh,Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,"87,959","566,906",Northern Ireland Planning Service,,,,,,25/06/2014,,,,,,,27/10/2015,,,,27/10/2018,23/06/2016,01/09/2017
2272,EN00034,2902,03/11/2010,EDF Energies Nouvelles,Burnfoot Hill,Wind Onshore,,,26,,,,,2.0,13.0,,,Operational,Operational,"Burnfoot Hill, Clackmannanshire",Clackmannanshire,Scotland,Scotland,,"290,135","703,250",Clackmannanshire Council,,,,,,20/03/2006,,,,,,,28/03/2007,,,,,01/08/2010,26/10/2010
2284,EN00102,2921,06/07/2009,Yorkshire Water,Chelker Reservoir,Wind Onshore,,,1.3,,,,,0.3,4.0,,,Operational,Operational,"Land adjacent to Chelker Reservoir, nr Skipton",North Yorkshire,Yorkshire and Humber,England,,"405,730","451,820",Craven District Council,,,,,,,,,,,,,12/07/1991,,,,,,01/06/1992
2285,EN00105,2922,09/06/2010,Green Cat Renewables,Strath of Brydock,Wind Onshore,,,4.6,,,,,1.3,2.0,,,Operational,Operational,"Strath of Brydock
Alvah
Banff",Grampian,Scotland,Scotland,,"365,391","859,727",Aberdeenshire Council,,,,,,29/08/2006,,,,,,,25/02/2008,,,,,,01/06/2009
2286,EN00106,2923,28/10/2010,Green Cat Renewables,House O'Hill,Wind Onshore,,,5,,,,,1.67,3.0,,,Operational,Operational,"Land Around House O'Hill
Fraserburgh",Grampian,Scotland,Scotland,,"397,560","859,107",Aberdeenshire Council,,,,,,15/05/2008,,,,,,,05/06/2009,,,,,01/08/2009,04/10/2010
